name,platform,year_of_release
Pet Zombies,3DS,2011
Star Trek: Legacy,X360,2006
Backbreaker,X360,2010
Twisted Metal: Small Brawl,PS,2001
Otomedius Excellent,X360,2011
NBA Starting Five,PS2,2002
Teen Titans,GBA,2005
Trauma Team,Wii,2010
Backbreaker,PS3,2010
James Cameron's Dark Angel,PS2,2002
Sword of the Samurai,PS2,1989
Splatterhouse,PS3,1989
Alone in the Dark: The New Nightmare,PS,2001
Vegas Party,Wii,2018
Jurassic Park: The Game,X360,2011
Home Run,2600,1978
eJay Clubworld,PS2,2002
All-Star Baseball 2005,XB,2004
Bejeweled 3,PS3,2009
Our House Party!,Wii,2009
WCW Backstage Assault,N64,2000
Bejeweled 3,X360,2009
Disney's Cinderella: Magical Dreams,GBA,2005
Transworld Surf,XB,2001
Street Fighter IV,PC,2008
Nintendo Puzzle Collection,GC,2003
Charm Girls Club: My Fashion Mall,DS,2009
Record of Agarest War Zero,PS3,2009
Rocksmith,PC,2011
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012
Saru! Get You! Million Monkeys,PS2,2006
Street Hoops,GC,2002
WRC: FIA World Rally Championship,X360,2010
Godzilla: Destroy All Monsters Melee,XB,2002
The Daring Game for Girls,DS,2009
Major League Baseball 2K6,PSP,2006
Star Trek: Conquest,PS2,2007
GiFTPiA,GC,2003
Happy Feet Two,PS3,2011
Disney's Chicken Little: Ace In Action,Wii,2006
Atsumare! Power Pro Kun no DS Koushien,DS,2006
My Healthy Cooking Coach,DS,2009
Happy Feet Two,DS,2011
Luminous Arc 2 (JP sales),DS,2008
Happy Feet Two,X360,2011
Egg Monster Hero,DS,2005
The Daring Game for Girls,Wii,2009
Demon Chaos,PS2,2005
Samurai Shodown Anthology,PSP,2008
Action Man-Operation Extreme,PS,1999
Super Puzzle Fighter II,GBA,1996
Charm Girls Club: My Fashion Show,DS,2009
Face Racers: Photo Finish,3DS,2011
Zero: Tsukihami no Kamen,Wii,2008
The Hidden,3DS,2011
Get Fit with Mel B,X360,2010
Rock Revolution,Wii,2008
Happy Feet Two,Wii,2011
Mega Man Battle Network: Operation Shooting Star,DS,2002
Smashing Drive,GC,2000
Port Royale 3,PS3,2012
Dream Trigger 3D,3DS,2011
Dead Island: Riptide,PC,2013
Yoostar on MTV,X360,2011
Tornado,DS,2008
McFarlane's Evil Prophecy,PS2,2004
Drake of the 99 Dragons,XB,2003
Build-A-Bear Workshop: Friendship Valley,Wii,2010
Rayman Arena,XB,2001
Port Royale 3,X360,2012
National Geographic Challenge!,X360,2011
Alex Rider: Stormbreaker,DS,2006
Chou Soujuu Mecha MG,DS,2006
Prinny: Can I Really Be The Hero? (US sales),PSP,2008
Combat Elite: WWII Paratroopers,PS2,2005
Flip's Twisted World,Wii,2010
Mobile Ops: The One Year War,X360,2008
Tom Clancy's Rainbow Six: Critical Hour,XB,2006
Jewel Link Chronicles: Mountains of Madness,DS,2011
Captain America: Super Soldier,Wii,2011
Mountain Bike Adrenaline,PS2,2007
Drill Dozer,GBA,2005
Captain America: Super Soldier,DS,2011
GRID,DS,2008
Tour de France 2011,X360,2011
Reader Rabbit 2nd Grade,Wii,2010
Monster Hunter Frontier Online,PS3,2007
RollerCoaster Tycoon,PC,1999
Battle vs. Chess,PS3,2011
The History Channel: Great Battles - Medieval,PS3,2010
Clockwork Empires,PC,2014
B.L.U.E.: Legend of Water,PS,1998
GRID,PC,2008
NHL Hitz Pro,GC,2003
Luxor: Pharaoh's Challenge,Wii,2007
Sega Rally 2006,PS2,2006
Half-Minute Hero 2,PSP,2009
Housekeeping,DS,2008
Major League Baseball 2K8,PSP,2008
Sabre Wulf,GBA,2004
Swords,Wii,2010
Beyond the Labyrinth,3DS,2012
Bikkuriman Daijiten,DS,2007
Majesty 2: The Fantasy Kingdom Sim,X360,2009
Fullmetal Alchemist: Brotherhood,PSP,2009
Combat Elite: WWII Paratroopers,XB,2005
Samurai Spirits: Tenkaichi Kenkakuden,PS2,2005
World of Tanks,X360,2011
Battle vs. Chess,PC,2011
Tom and Jerry in War of the Whiskers,XB,2002
Super Duper Sumos,GBA,2003
The King of Fighters: Maximum Impact - Maniax,XB,2005
Combat Wings: The Great Battles of WWII,Wii,2010
Tube Slider,GC,2003
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2009
Payout Poker & Casino,PSP,2006
Wii de Asobu: Metroid Prime,Wii,2002
Legacy of Ys: Books I & II,DS,1989
Saint,Wii,2009
Steal Princess,DS,2008
Mario Tennis,3DS,2012
Runaway: A Twist of Fate,DS,2009
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009
Cabela's Alaskan Adventure,PS2,2006
Writing and Speaking Beautiful Japanese DS,DS,2007
Virtua Quest,PS2,2004
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2007
Without Warning,XB,2005
PDC World Championship Darts 2008,DS,2008
Dinotopia: The Sunstone Odyssey,GC,2003
Jet Impulse,DS,2007
Dream Dancer,DS,2009
Dance! It's Your Stage,Wii,2010
Football Manager 2007,X360,2006
Ferrari: The Race Experience,Wii,2010
Aquaman: Battle for Atlantis,XB,2003
WRC: FIA World Rally Championship,PC,2010
Homeworld Remastered Collection,PC,2015
Shorts,DS,2009
AKB1/48: Idol to Guam de Koishitara...,X360,2011
Brothers in Arms: Furious 4,X360,2011
Agarest Senki: Re-appearance,PS3,2007
PDC World Championship Darts 2008,PSP,2008
Freaky Flyers,GC,2003
Inversion,PC,2012
Hakuouki: Shinsengumi Kitan,PS3,2012
Virtua Quest,GC,2004
